	nCluster	inference
6427_T_C	1	0
6436_A_G	1	0
6439_G_A	3	0
6443_G_A	1	0
6445_C_T	1	0
6446_G_T	1	0
6449_C_T	1	0
6452_G_A	1	0
6456_G_A	5	0
6459_A_G	5	0
6461_G_T	1	0
6475_A_C	1	0
6477_T_C	1	0
6484_A_G	1	0
6492_T_C	12	0
6495_T_C	1	0
6496_T_C	10	0
6505_A_T	1	0
6507_A_C	1	0
6518_A_T	1	0
6519_A_G	2	0
6520_A_T	1	0
6525_C_T	1	0
6538_C_T	1	0
6539_C_T	1	0
6541_C_T	1	0
6543_C_T	1	0
6548_C_T	2	0
6554_G_T	1	0
6555_C_T	1	0
6558_C_T	1	0
6561_A_G	1	0
6565_A_G	1	0
6568_C_T	1	0
6572_T_C	2	0
6581_A_T	2	0
6585_T_C	1	0
6592_A_T	1	0
6604_A_G	15	0
6609_G_C	3	0
6616_A_G	1	0
6627_C_T	2	0
6629_C_T	1	0
6632_G_A	1	0
6633_C_T	1	0
6636_C_T	1	0
6643_T_C	2	0
6646_A_G	1	0
6657_A_G	2	0
6674_A_T	1	0
6677_A_C	1	0
6681_C_T	1	0
6691_T_C	2	0
6693_A_G	1	0
6694_G_A	7	0
6696_C_T	1	0
6701_C_T	3	0
6702_T_A	1	0
6702_T_C	1	0
6703_T_C	1	0
6705_A_C	1	0
6706_C_A	2	0
6706_C_T	1	0
6708_A_G	1	0
6713_G_A	2	0
6722_A_G	1	0
6726_C_T	1	0
6729_A_C	1	0
6730_C_G	1	0
6730_C_T	1	0
6739_A_G	1	0
6750_A_C	1	0
6762_C_T	1	0
6766_T_C	2	0
6766_T_G	1	0
6767_T_A	1	0
6785_A_G	4	0
6791_T_A	9	0
6794_C_T	1	0
6800_T_C	1	0
6810_T_C	1	0
6811_T_C	1	0
6813_C_G	1	0
6816_G_A	1	0
6838_A_G	1	0
6839_G_T	1	0
6840_C_T	7	0
6847_G_A	2	0
6854_A_C	1	0
6868_T_A	1	0
6871_T_C	1	0
6873_T_C	1	0
6877_G_A	1	0
6880_T_C	1	0
6886_T_C	2	0
6902_G_A	1	0
6917_T_C	1	0
6919_G_T	1	0
6920_A_G	1	0
6920_A_T	3	0
6926_C_T	2	0
6930_A_G	1	0
6937_T_A	2	0
6941_C_T	1	0
6943_G_A	1	0
6952_T_C	1	0
6961_G_T	1	0
6963_T_C	1	0
6965_T_C	1	0
6975_G_A	1	0
6979_T_A	1	0
6990_C_T	3	0
6991_T_A	1	0
6993_T_C	1	0
6995_A_G	1	0
6996_T_C	2	0
6996_T_G	1	0
6997_C_A	1	0
6997_C_T	1	0
6998_T_C	1	0
7004_A_G	1	0
7006_C_T	1	0
7008_C_T	1	0
7024_A_C	1	0
7029_C_T	1	0
7031_A_C	1	0
7035_T_A	1	0
7039_C_T	1	0
7040_A_G	1	0
7040_A_T	1	0
7051_C_T	1	0
7056_C_T	1	0
7064_A_G	1	0
7067_G_A	1	0
7072_C_T	1	0
7073_T_C	1	0
7080_A_G	1	0
7081_C_T	1	0
7084_T_C	1	0
7092_T_C	2	0
7101_C_T	1	0
7115_G_A	1	0
7129_T_C	1	0
7131_G_A	1	0
7143_G_A	1	0
7152_A_G	1	0
7156_T_C	1	0
7164_C_T	1	0
7165_C_T	1	0
7173_C_T	1	0
7175_T_C	1	0
7176_T_C	1	0
7180_A_G	1	0
7181_A_C	3	0
7183_T_C	1	0
7185_T_C	2	0
7190_A_T	1	0
7191_T_C	1	0
7194_C_T	1	0
7207_T_C	1	0
7211_T_G	1	0
7214_G_T	4	0
7215_A_G	1	0
7217_T_A	1	0
7225_T_C	1	0
7235_G_A	2	0
7240_A_G	1	0
7250_T_A	1	0
7251_T_A	2	0
7258_T_G	2	0
7260_T_A	1	0
7260_T_G	1	0
7267_C_T	1	0
7277_T_C	1	0
7279_C_T	1	0
7280_T_C	1	0
7295_G_A	1	0
7314_T_C	1	0
7330_A_G	1	0
7333_A_T	1	0
7342_T_A	1	0
7353_G_T	2	0
7360_G_T	1	0
7374_A_C	3	0
7386_T_C	1	0
7387_G_A	2	0
7387_G_T	1	0
7393_G_A	1	0
7393_G_T	1	0
7408_T_C	1	0
7420_C_T	1	0
7431_C_G	3	0
7449_A_G	1	0
7464_T_C	1	0
7471_C_T	1	0
7473_G_T	1	0
7488_C_T	1	0
7491_G_T	1	0
7511_A_C	2	0
7511_A_G	1	0
7513_T_C	1	0
7522_A_G	1	0
7523_A_T	3	0
7524_G_T	1	0
7537_A_T	1	0
7540_T_C	1	0
7543_T_C	1	0
7544_G_T	2	0
7550_G_T	1	0
7555_T_C	1	0
7558_A_G	1	0
7560_G_A	2	0
7564_C_T	2	0
7570_T_C	1	0
7600_C_T	1	0
7609_C_T	1	0
7614_G_C	1	0
7615_G_C	1	0
7633_T_C	1	0
7641_G_T	1	0
7644_C_T	2	0
7649_A_T	1	0
7657_T_A	1	0
7659_T_G	1	0
7660_T_C	1	0
7661_A_G	11	0
7670_G_T	1	0
7674_C_A	1	0
7675_G_T	1	0
7678_A_C	1	0
7683_T_G	11	0
7708_A_G	1	0
7718_G_A	3	0
7721_C_A	4	0
7723_G_T	2	0
7729_T_C	1	0
7730_T_A	1	0
7740_A_G	2	0
7747_T_G	1	0
7751_G_A	1	0
7758_A_C	10	0
7763_T_C	1	0
7764_C_T	1	0
7765_C_G	1	0
7765_C_T	1	0
7766_A_T	1	0
7767_T_C	1	0
7771_T_G	1	0
7786_A_G	1	0
7787_G_A	1	0
7788_C_A	2	0
7790_G_A	1	0
7791_G_T	1	0
7795_A_G	2	0
7797_A_G	1	0
7799_A_C	4	0
7801_T_A	1	0
7818_T_G	1	0
7822_T_A	1	0
7825_T_C	1	0
7836_T_C	1	0
7843_C_T	1	0
7851_C_T	1	0
7860_C_G	7	0
7860_C_T	2	0
7863_A_T	2	0
7869_C_T	1	0
7888_A_T	1	0
7892_T_C	1	0
7894_T_C	1	0
7897_T_C	1	0
7904_T_C	1	0
7917_A_T	1	0
7923_C_T	1	0
7924_T_C	1	0
7931_T_G	1	0
7936_G_T	3	0
7945_C_T	3	0
7955_C_T	1	0
7958_A_T	1	0
7970_A_T	4	0
7973_C_G	1	0
7979_C_T	14	0
7984_T_A	1	0
7984_T_C	1	0
7989_C_T	2	0
7998_C_T	2	0
8002_T_G	1	0
8005_T_C	1	0
8006_G_A	1	0
8014_T_C	1	0
8016_C_T	1	0
8022_T_C	1	0
8024_G_A	1	0
8028_T_A	1	0
8031_A_G	4	0
8034_T_C	1	0
8035_G_A	1	0
8041_T_C	1	0
8044_T_C	1	0
8067_C_T	1	0
8069_T_C	1	0
8072_A_G	1	0
8075_G_T	7	0
8078_C_T	4	0
8079_C_A	1	0
8082_T_C	1	0
8087_A_T	1	0
8090_C_T	1	0
8092_C_T	1	0
8099_C_T	1	0
8100_T_C	1	0
8102_G_A	1	0
8102_G_T	1	0
8105_G_A	2	0
8111_G_T	2	0
8116_A_T	1	0
8118_C_T	3	0
8123_C_T	1	0
8125_T_C	1	0
8129_A_G	2	0
8130_A_C	1	0
8137_G_A	2	0
8139_C_T	1	0
8140_C_T	2	0
8148_A_T	1	0
8150_G_T	1	0
8151_T_C	1	0
8155_A_T	1	0
8169_C_T	1	0
8170_A_G	1	0
8173_A_T	2	0
8177_C_T	1	0
8179_G_T	1	0
8182_A_C	1	0
8190_T_C	1	0
8192_G_C	1	0
8204_G_C	1	0
8206_A_T	1	0
8212_A_G	1	0
8212_A_T	1	0
8234_T_C	1	0
8236_G_A	1	0
8239_A_G	1	0
8240_C_T	1	0
8241_A_C	1	0
8241_A_G	4	0
8242_T_A	2	0
8242_T_C	2	0
8242_T_G	2	0
8244_A_T	3	0
8246_T_A	2	0
8247_C_T	1	0
8251_C_T	1	0
8255_G_A	3	0
8263_T_G	1	0
8265_G_C	1	0
8266_C_T	1	0
8282_T_C	1	0
8286_T_A	1	0
8286_T_C	1	0
8289_T_C	1	0
8290_C_T	3	0
8298_A_G	1	0
8298_A_T	1	0
8301_A_G	1	0
8304_T_C	1	0
8307_A_T	1	0
8308_A_G	1	0
8316_C_T	1	0
8326_C_T	1	0
8327_C_T	1	0
8334_C_T	1	0
8360_A_G	5	0
8362_T_C	1	0
8372_G_C	1	0
8373_T_C	1	0
8377_A_G	1	0
8379_A_T	2	0
8387_A_G	7	0
8389_C_T	1	0
8392_T_C	1	0
8399_A_T	1	0
8401_A_G	3	0
8407_C_T	2	0
8411_A_T	1	0
8414_G_T	1	0
8415_A_T	1	0
8417_T_C	1	0
8418_T_C	1	0
8429_T_C	1	0
8431_T_C	1	0
8432_G_A	2	0
8432_G_T	1	0
8433_A_G	1	0
8457_G_T	1	0
8459_G_A	1	0
8459_G_T	1	0
8465_A_G	5	0
8473_T_C	1	0
8480_C_T	1	0
8484_T_A	1	0
8501_A_G	1	0
8516_G_A	15	0
8525_G_A	1	0
8525_G_T	1	0
8527_A_G	13	0
8534_A_G	1	0
8537_A_G	1	0
8543_C_T	1	0
8565_A_C	1	0
8569_T_A	1	0
8571_G_T	1	0
8576_A_G	1	0
8586_T_C	1	0
8595_C_T	1	0
8599_T_C	1	0
8601_T_C	1	0
8602_G_A	1	0
8607_T_C	1	0
8613_T_C	2	0
8619_C_A	1	0
8619_C_T	1	0
8621_A_T	1	0
8623_T_C	2	0
8627_T_C	1	0
8629_T_C	1	0
8643_T_C	1	0
8645_C_T	1	0
8648_G_A	1	0
8649_T_A	1	0
8653_G_T	1	0
8654_T_G	2	0
8655_C_T	2	0
8657_A_G	1	0
8660_C_T	1	0
8664_C_T	1	0
8671_T_C	2	0
8673_C_G	1	0
8678_G_T	1	0
8679_A_T	1	0
8690_T_A	1	0
8717_C_T	1	0
8718_G_T	1	0
8724_T_C	2	0
8728_A_C	1	0
8729_T_G	1	0
8731_T_C	1	0
8740_T_C	1	0
8742_G_T	1	0
8744_T_A	4	0
8752_C_T	1	0
8758_T_C	1	0
8759_G_A	1	0
8770_C_T	1	0
8772_C_G	1	0
8782_T_A	9	0
8782_T_C	17	1
8785_G_A	1	0
8787_G_A	3	0
8788_T_C	1	0
8791_T_C	7	0
8801_A_T	3	0
8804_A_G	1	0
8812_A_G	1	0
8828_G_A	1	0
8828_G_T	1	0
8830_T_G	1	0
8831_G_A	1	0
8839_A_T	1	0
8841_C_T	1	0
8844_G_T	1	0
8857_T_C	1	0
8868_G_T	1	0
8870_T_C	1	0
8883_T_A	1	0
8883_T_C	2	0
8885_T_C	2	0
8888_C_T	2	0
8889_G_C	1	0
8900_G_A	1	0
8902_T_G	1	0
8911_G_T	1	0
8917_C_T	1	0
8923_T_C	1	0
8937_C_T	2	0
8939_G_A	1	0
8950_C_T	2	0
8956_C_T	2	0
8959_A_C	1	0
8963_T_C	1	0
8964_C_T	4	0
8967_A_T	1	0
8971_T_C	1	0
8983_T_A	1	0
8995_A_C	1	0
8995_A_G	1	0
9001_T_A	2	0
9002_T_C	1	0
9005_G_T	1	0
9015_C_A	1	0
9019_A_T	1	0
9025_A_T	1	0
9026_A_G	1	0
9029_T_A	2	0
9034_A_G	1	0
9053_G_A	1	0
9055_A_T	1	0
9070_T_C	1	0
9076_T_C	1	0
9077_G_A	1	0
9078_T_A	1	0
9082_A_G	2	0
9082_A_T	1	0
9084_A_C	1	0
9090_C_T	1	0
9100_T_C	1	0
9100_T_G	1	0
9101_G_A	1	0
9102_A_G	1	0
9106_T_C	1	0
9107_T_C	1	0
9110_C_G	1	0
9116_G_A	1	0
9118_C_T	2	0
9123_G_A	1	0
9127_T_C	1	0
9127_T_G	1	0
9140_G_A	1	0
9142_C_A	1	0
9147_T_C	1	0
9148_T_A	3	0
9148_T_C	1	0
9161_A_T	1	0
9165_C_T	1	0
9169_C_T	1	0
9171_T_A	1	0
9175_A_C	2	0
9180_C_T	1	0
9187_A_G	2	0
9190_G_A	1	0
9193_A_G	1	0
9194_A_T	5	0
9195_C_T	1	0
9197_A_G	1	0
9199_T_C	1	0
9200_T_G	1	0
9201_T_G	1	0
9207_C_A	1	0
9208_T_G	1	0
9209_G_A	1	0
9209_G_T	1	0
9210_A_C	1	0
9210_A_G	2	0
9213_A_G	1	0
9223_C_A	12	0
9223_C_T	1	0
9243_A_G	1	0
9245_G_T	2	0
9248_G_T	1	0
9249_G_A	2	0
9258_T_C	1	0
9264_C_T	1	0
9267_G_A	1	0
9277_G_T	1	0
9286_C_T	1	0
9290_G_A	1	0
9295_T_G	1	0
9296_T_C	2	0
9299_A_T	1	0
9307_A_C	1	0
9312_G_A	1	0
9318_T_C	1	0
9319_C_T	1	0
9320_T_C	1	0
9341_T_C	1	0
9342_T_C	1	0
9350_A_G	7	0
9360_C_T	1	0
9366_T_A	2	0
9372_A_G	1	0
9396_C_T	6	0
9401_T_C	1	0
9405_T_C	6	0
9411_C_A	1	0
9414_G_A	2	0
9419_A_G	2	0
9428_A_G	1	0
9429_T_C	1	0
9430_C_A	1	0
9430_C_T	1	0
9431_G_T	1	0
9438_C_T	1	0
9440_T_A	1	0
9444_T_G	2	0
9455_T_C	1	0
9466_T_A	1	0
9466_T_C	1	0
9467_A_C	1	0
9467_A_G	1	0
9474_C_T	3	0
9477_T_A	1	0
9479_G_T	1	0
9484_A_G	1	0
9491_C_T	1	0
9502_C_T	10	0
9510_C_T	1	0
9512_T_C	1	0
9513_T_C	1	0
9522_T_G	3	0
9523_T_C	1	0
9524_A_G	1	0
9527_T_C	1	0
9531_T_C	3	0
9535_T_C	1	0
9536_G_A	1	0
9536_G_T	1	0
9539_C_T	5	0
9541_C_T	1	0
9543_G_A	1	0
9543_G_T	1	0
9553_A_T	1	0
9559_C_T	1	0
9562_A_G	1	0
9563_T_C	1	0
9572_G_T	2	0
9579_A_T	1	0
9581_T_C	1	0
9588_T_A	1	0
9593_T_A	1	0
9593_T_C	3	0
9594_T_A	1	0
9597_A_G	4	0
9598_C_T	4	0
9604_A_G	2	0
9604_A_T	1	0
9608_T_C	1	0
9610_T_C	1	0
9616_T_A	5	0
9624_T_C	1	0
9626_T_A	1	0
9636_C_T	1	0
9646_G_A	1	0
9647_T_C	1	0
9648_G_A	1	0
9648_G_C	1	0
9649_G_A	5	0
9654_T_A	2	0
9654_T_G	1	0
9656_A_G	1	0
9661_C_T	1	0
9685_A_T	1	0
9688_A_C	1	0
9693_C_T	1	0
9695_T_C	1	0
9696_A_G	1	0
9697_T_C	1	0
9708_T_C	1	0
9716_A_G	1	0
9721_T_A	8	0
9724_C_T	1	0
9729_G_C	1	0
9734_T_C	1	0
9737_A_G	3	0
9742_T_C	1	0
9746_C_T	1	0
9759_T_C	1	0
9787_T_C	2	0
9791_G_A	1	0
9792_A_G	2	0
9794_G_A	1	0
9807_G_A	1	0
9823_T_C	1	0
9825_A_C	1	0
9829_A_C	1	0
9831_T_C	1	0
9866_C_T	1	0
9871_G_T	1	0
9873_A_T	1	0
9875_T_C	4	0
9887_T_A	3	0
9892_T_C	1	0
9900_A_T	2	0
9902_A_G	1	0
9908_A_T	4	0
9910_G_A	1	0
9913_T_A	1	0
9914_T_A	2	0
9914_T_C	7	0
9919_T_C	1	0
9924_C_T	1	0
9925_A_T	1	0
9928_G_A	1	0
9928_G_T	1	0
9931_T_C	1	0
9945_G_A	1	0
9946_A_T	3	0
9953_G_A	1	0
9958_T_C	1	0
9960_G_A	1	0
9960_G_T	1	0
9962_C_T	1	0
9967_C_T	2	0
9968_G_A	1	0
9984_A_T	1	0
9989_A_G	1	0
9993_A_G	1	0
9995_T_G	1	0
9996_C_T	1	0
10009_T_C	1	0
10013_T_C	1	0
10015_C_T	1	0
10030_C_T	1	0
10037_A_T	1	0
10042_A_G	1	0
10053_A_T	1	0
10057_T_C	1	0
10062_T_G	1	0
10075_A_C	1	0
10077_T_C	1	0
10078_C_T	1	0
10087_T_A	2	0
10097_G_A	1	0
10102_T_A	2	0
10107_T_C	1	0
10111_A_G	1	0
10134_T_C	1	0
10135_T_C	1	0
10138_C_T	1	0
10140_G_A	1	0
10145_T_A	1	0
10161_T_G	1	0
10180_G_T	1	0
10181_A_C	2	0
10184_T_A	1	0
10185_G_A	1	0
10188_C_T	1	0
10194_A_C	1	0
10195_A_G	1	0
10198_C_T	1	0
10236_A_G	1	0
10251_T_A	1	0
10252_C_T	1	0
10258_A_T	1	0
10264_T_C	1	0
10265_G_A	1	0
10269_A_G	1	0
10275_A_G	1	0
10277_C_T	1	0
10279_C_T	1	0
10286_A_G	1	0
10301_C_A	1	0
10308_G_A	3	0
10316_A_G	1	0
10317_A_C	1	0
10317_A_G	1	0
10319_C_T	1	0
10321_T_G	1	0
10323_A_G	3	0
10325_G_C	1	0
10329_A_G	1	0
10332_C_T	1	0
10335_C_T	2	0
10353_A_C	1	0
10356_A_G	3	0
10357_T_C	10	0
10362_T_C	2	0
10376_C_T	1	0
10378_A_C	5	0
10380_G_A	1	0
10389_T_C	1	0
10393_A_G	1	0
10403_T_A	1	0
10406_T_A	1	0
10412_G_A	1	0
10416_C_G	1	0
10416_C_T	1	0
10422_C_A	1	0
10422_C_T	1	0
10431_A_G	1	0
10440_C_T	1	0
10449_C_T	1	0
10450_C_T	1	0
10456_C_T	2	0
10459_T_C	1	0
10472_T_C	1	0
10480_T_C	1	0
10481_G_A	1	0
10484_T_G	13	0
10487_T_C	1	0
10489_T_C	1	0
10503_T_G	1	0
10521_G_T	1	0
10525_C_T	1	0
10531_T_C	1	0
10540_G_T	1	0
10541_C_A	15	0
10545_A_G	1	0
10546_T_G	1	0
10547_A_T	3	0
10548_T_A	1	0
10548_T_C	1	0
10556_C_T	1	0
10561_T_C	1	0
10579_A_G	1	0
10582_C_T	2	0
10586_G_A	1	0
10586_G_T	2	0
10587_A_G	1	0
10594_C_T	1	0
10618_G_A	1	0
10619_C_T	1	0
10626_C_T	2	0
10632_C_T	1	0
10635_C_T	1	0
10641_C_T	1	0
10642_G_T	2	0
10650_C_T	1	0
10681_C_G	1	0
10691_A_G	1	0
10691_A_T	1	0
10696_T_A	1	0
10706_T_C	1	0
10712_C_T	1	0
10722_T_G	1	0
10724_A_G	1	0
10731_C_G	1	0
10733_C_T	1	0
10744_T_A	2	0
10748_C_A	1	0
10748_C_T	1	0
10754_G_A	1	0
10755_C_T	4	0
10759_G_T	1	0
10761_A_G	1	0
10765_C_T	1	0
10767_A_G	1	0
10770_A_T	1	0
10771_T_A	1	0
10771_T_C	12	0
10772_G_A	3	0
10772_G_C	1	0
10772_G_T	1	0
10773_A_G	8	0
10773_A_T	6	0
10776_C_A	1	0
10779_T_A	13	0
10788_A_G	5	0
10789_C_T	2	0
10796_G_A	1	0
10805_G_A	2	0
10810_T_C	1	0
10813_T_C	5	0
10813_T_G	1	0
10814_T_C	7	0
10816_T_C	1	0
10817_G_A	1	0
10818_C_T	1	0
10825_T_A	1	0
10827_G_T	2	0
10833_C_T	2	0
10844_A_G	1	0
10846_G_T	1	0
10851_C_T	2	0
10859_A_G	1	0
10867_A_C	1	0
10870_G_T	1	0
10874_A_G	2	0
10874_A_T	2	0
10879_T_A	1	0
10880_A_C	1	0
10881_T_C	1	0
10889_C_T	1	0
10892_A_G	1	0
10893_C_A	1	0
10899_T_A	1	0
10904_A_G	1	0
10921_T_C	1	0
10927_T_A	2	0
10948_A_G	1	0
10954_C_A	1	0
10956_C_T	1	0
10963_T_A	3	0
10964_A_G	1	0
10965_C_T	1	0
10968_T_C	1	0
10971_A_G	1	0
10972_A_G	1	0
10975_T_C	1	0
10977_C_A	1	0
10981_G_C	1	0
10981_G_T	1	0
10986_G_A	1	0
10986_G_T	1	0
10989_C_T	1	0
11003_C_T	1	0
11005_C_T	1	0
11017_A_G	1	0
11020_C_T	2	0
11023_A_G	1	0
11025_T_A	1	0
11029_G_C	3	0
11030_A_C	1	0
11030_A_G	1	0
11033_T_G	3	0
11036_C_T	1	0
11040_T_G	1	0
11049_T_C	1	0
11056_T_C	1	0
11058_C_A	1	0
11058_C_G	1	0
11072_T_C	1	0
11074_C_T	2	0
11079_T_C	4	0
11083_G_T	10	1
11098_T_A	1	0
11101_A_G	1	0
11108_G_T	2	0
11118_T_C	1	0
11119_T_C	12	0
11124_C_T	1	0
11139_C_T	1	0
11142_T_C	1	0
11143_G_A	3	0
11145_T_C	4	0
11146_G_A	2	0
11147_T_A	2	0
11147_T_C	3	0
11147_T_G	1	0
11148_T_A	4	0
11148_T_C	1	0
11148_T_G	1	0
11149_T_A	2	0
11151_T_A	6	0
11151_T_C	1	0
11152_C_T	1	0
11157_A_T	1	0
11158_T_C	1	0
11159_A_C	2	0
11160_A_G	1	0
11168_T_C	1	0
11177_T_C	1	0
11183_T_C	1	0
11185_G_A	1	0
11199_C_A	2	0
11213_T_G	6	0
11216_A_C	1	0
11219_A_G	1	0
11220_T_C	1	0
11220_T_G	1	0
11222_G_T	1	0
11224_C_T	2	0
11226_A_G	1	0
11234_G_A	1	0
11238_G_A	1	0
11241_G_T	1	0
11242_G_T	1	0
11243_G_C	1	0
11245_G_A	1	0
11247_T_C	1	0
11249_C_G	1	0
11255_A_G	1	0
11261_T_A	1	0
11263_G_T	1	0
11267_G_A	1	0
11285_T_A	2	0
11289_C_T	2	0
11302_A_T	1	0
11303_A_C	2	0
11306_G_A	1	0
11306_G_C	1	0
11307_A_G	1	0
11308_C_T	1	0
11320_T_C	3	0
11322_C_T	1	0
11324_T_A	1	0
11327_G_C	1	0
11331_T_A	1	0
11335_G_T	1	0
11336_T_A	1	0
11339_C_T	1	0
11342_A_G	1	0
11347_T_C	1	0
11348_A_G	1	0
11353_A_G	1	0
11357_A_T	12	0
11358_G_T	2	0
11367_A_T	7	0
11370_A_G	1	0
11374_T_C	1	0
11379_C_T	2	0
11389_G_T	1	0
11406_T_G	4	0
11415_T_C	1	0
11416_C_A	1	0
11417_G_T	2	0
11425_A_G	1	0
11430_A_G	1	0
11443_T_C	1	0
11451_A_T	1	0
11454_C_A	6	0
11460_C_T	1	0
11465_T_G	2	0
11471_C_T	1	0
11473_T_C	1	0
11478_T_A	8	0
11478_T_C	1	0
11481_C_A	1	0
11487_C_G	1	0
11490_C_G	11	0
11499_C_G	1	0
11511_C_G	7	0
11514_C_G	2	0
11514_C_T	1	0
11519_A_G	1	0
11522_T_G	2	0
11525_T_G	1	0
11526_T_A	1	0
11529_C_T	1	0
11533_A_T	1	0
11535_G_A	6	0
11537_A_C	1	0
11538_T_A	1	0
11541_T_C	1	0
11541_T_G	1	0
11544_T_C	1	0
11551_T_G	1	0
11554_T_C	1	0
11556_A_T	2	0
11557_G_A	1	0
11559_A_C	1	0
11559_A_G	1	0
11560_T_C	1	0
11561_T_A	2	0
11563_C_T	2	0
11587_T_C	1	0
11592_T_C	1	0
11593_T_A	1	0
11595_A_G	2	0
11599_T_C	1	0
11600_A_T	1	0
11602_A_T	1	0
11622_T_G	4	0
11634_G_T	1	0
11645_T_A	1	0
11651_C_T	2	0
11656_T_G	2	0
11669_C_T	1	0
11670_G_T	1	0
11674_C_T	1	0
11680_A_G	1	0
11685_C_T	1	0
11690_G_T	9	0
11700_A_G	1	0
11704_C_T	1	0
11716_A_G	1	0
11717_C_T	1	0
11742_A_T	1	0
11747_C_T	1	0
11752_C_T	1	0
11758_C_T	1	0
11767_C_T	1	0
11773_T_C	1	0
11773_T_G	1	0
11777_T_C	2	0
11778_T_C	1	0
11781_A_G	1	0
11782_A_G	1	0
11784_T_A	9	0
11784_T_C	1	0
11806_T_C	1	0
11807_G_A	1	0
11808_G_A	1	0
11809_T_G	1	0
11812_C_A	1	0
11812_C_G	1	0
11828_G_T	1	0
11829_T_C	1	0
11830_A_G	1	0
11831_G_A	1	0
11832_C_T	6	0
11833_C_T	1	0
11840_C_T	1	0
11847_A_G	5	0
11849_A_C	3	0
11849_A_G	3	0
11851_G_T	1	0
11862_A_G	2	0
11865_G_A	1	0
11869_A_T	1	0
11870_T_A	1	0
11871_C_T	1	0
11878_C_T	1	0
11879_T_C	1	0
11882_C_T	1	0
11883_T_A	1	0
11886_C_G	1	0
11905_A_G	1	0
11909_G_A	1	0
11910_A_T	9	0
11916_C_T	6	1
11918_T_C	1	0
11919_C_T	1	0
11922_A_G	1	0
11924_T_C	1	0
11924_T_G	1	0
11935_A_T	2	0
11944_G_C	1	0
11952_A_T	11	0
11956_C_T	2	0
11960_C_T	2	0
11966_G_T	1	0
11967_C_A	1	0
11976_C_G	1	0
11976_C_T	1	0
11979_C_T	1	0
11981_G_A	1	0
11981_G_C	1	0
11983_A_T	3	0
11985_C_T	2	0
11987_T_C	1	0
11991_A_C	1	0
11992_A_T	1	0
11997_T_C	1	0
12003_C_T	1	0
12020_C_A	1	0
12025_C_T	2	0
12027_T_C	1	0
12035_G_T	1	0
12037_T_G	1	0
12044_A_T	1	0
12049_C_T	1	0
12051_A_G	1	0
12052_G_A	1	0
12053_C_G	5	0
12053_C_T	1	0
12058_T_G	1	0
12060_A_T	1	0
12061_A_G	1	0
12065_A_G	1	0
12068_C_T	1	0
12070_G_A	1	0
12073_C_T	2	0
12074_A_G	1	0
12076_C_G	1	0
12076_C_T	1	0
12080_G_A	1	0
12080_G_T	1	0
12084_C_T	1	0
12093_C_T	1	0
12095_A_G	1	0
12095_A_T	1	0
12096_T_C	1	0
12102_C_A	10	0
12105_A_T	1	0
12114_C_T	1	0
12115_C_T	2	0
12117_T_C	1	0
12118_T_C	1	0
12119_C_T	2	0
12128_G_A	1	0
12132_C_T	1	0
12133_T_C	1	0
12141_C_A	2	0
12143_G_T	1	0
12148_A_T	1	0
12156_A_G	3	0
12157_T_C	1	0
12160_G_T	1	0
12164_G_T	1	0
12168_T_C	1	0
12171_C_A	2	0
12171_C_T	1	0
12172_T_A	2	0
12177_G_A	2	0
12181_T_C	1	0
12184_T_A	1	0
12185_G_A	1	0
12193_T_C	1	0
12194_C_T	2	0
12197_A_G	1	0
12206_A_G	1	0
12221_G_A	1	0
12228_A_C	1	0
12228_A_T	1	0
12235_A_G	2	0
12241_C_T	1	0
12242_C_T	1	0
12244_T_G	1	0
12251_G_A	1	0
12253_C_T	1	0
12255_T_C	1	0
12269_G_A	1	0
12280_T_G	1	0
12282_A_C	3	0
12283_T_C	1	0
12293_A_G	1	0
12304_T_A	1	0
12311_G_C	2	0
12314_A_T	1	0
12315_G_C	1	0
12315_G_T	3	0
12319_T_C	1	0
12320_G_A	1	0
12322_G_T	2	0
12327_A_G	1	0
12328_G_C	4	0
12331_G_T	1	0
12332_G_C	3	0
12336_A_T	2	0
12339_T_C	3	0
12340_T_A	2	0
12352_G_C	1	0
12353_C_A	1	0
12355_G_C	1	0
12361_G_T	1	0
12364_T_C	1	0
12374_C_T	1	0
12393_A_G	1	0
12395_G_T	1	0
12400_C_G	1	0
12400_C_T	1	0
12403_C_T	1	0
12411_T_C	1	0
12411_T_G	3	0
12413_A_C	2	0
12415_C_T	1	0
12417_A_G	1	0
12419_G_A	2	0
12419_G_T	1	0
12420_C_T	8	0
12427_T_A	2	0
12429_G_T	1	0
12439_C_T	1	0
12458_A_G	7	0
12462_C_A	1	0
12463_A_G	1	0
12466_A_C	1	0
12468_C_T	6	0
12469_C_T	1	0
12471_A_T	1	0
12472_A_G	1	0
12473_C_T	1	0
12476_A_G	1	0
12477_T_C	1	0
12478_G_A	1	0
12481_T_C	1	0
12488_C_G	1	0
12488_C_T	3	0
12489_C_G	1	0
12495_A_C	2	0
12496_T_A	1	0
12500_A_G	1	0
12503_T_C	1	0
12506_A_T	1	0
12511_T_C	1	0
12514_G_T	1	0
12517_T_C	1	0
12519_A_T	1	0
12524_A_G	1	0
12525_C_T	2	0
12530_T_C	1	0
12534_C_T	2	0
12554_G_A	1	0
12557_A_C	1	0
12571_A_T	1	0
12574_T_A	1	0
12578_G_T	7	0
12585_A_G	3	0
12607_T_C	1	0
12611_A_T	5	0
